"Vintage","st_helena_prcp","st_hosp_prcp","st_helena_prcp_cab","st_hosp_prcp_cab","st_helena_prcp_chard","st_hosp_prcp_chard","st_helena_prcp_mer","st_hosp_prcp_mer","prcp_avg_year_gen","prcp_avg_year_cab","prcp_avg_year_chard","prcp_avg_year_mer","st_helena_gdd","st_hosp_gdd","st_helena_gdd_cab","st_hosp_gdd_cab","st_helena_gdd_chard","st_hosp_gdd_chard","st_helena_gdd_mer","st_hosp_gdd_mer","gdd_avg_year_gen","gdd_avg_year_cab","gdd_avg_year_chard","gdd_avg_year_mer"
1991,28.4,26.6,60.1,69.3,194,147,60.1,69.3,27.5,64.7,170.5,64.7,1471.6,1230,1581.6,1320.85,1490.65,1244.45,1490.1,1244.45,1350.8,1451.225,1367.55,1367.275
1992,56.95,43.7,59.6,45,97.925,81.4,59.6,45,50.325,52.3,89.6625,52.3,1356.225,1514.35,1472.825,1610.3,1408.825,1568.55,1389.125,1542.15,1435.2875,1541.5625,1488.6875,1465.6375
1993,127.7,92.7,146.175,103.6,213.875,142.8,146.175,103.6,110.2,124.8875,178.3375,124.8875,1659.0875,1455.95,1735.2375,1530.2,1706.8875,1513.35,1672.4875,1472.75,1557.51875,1632.71875,1610.11875,1572.61875
1994,94.6,73.2,100.375,77.5,108.425,78,100.375,77.5,83.9,88.9375,93.2125,88.9375,1559.875,1375.85,1675.775,1478.85,1597.075,1409.65,1584.875,1400.5,1467.8625,1577.3125,1503.3625,1492.6875
1995,120.3,133.8,120.3,133.8,236.3,221.8,120.3,133.8,127.05,127.05,229.05,127.05,1587.3,1438.8,1699.55,1542.2,1623.45,1473.25,1605.1,1458.25,1513.05,1620.875,1548.35,1531.675
1996,180.2,192.1,181.2,192.1,181.2,192.1,181.2,192.1,186.15,186.65,186.65,186.65,1768.475,1463.85,1861.775,1550.4,1824.825,1511.9,1778.125,1474.65,1616.1625,1706.0875,1668.3625,1626.3875
1997,54.6,62.1,54.6,62.1,71.9,79.6,54.6,62.1,58.35,58.35,75.75,58.35,1830.1,1554.7,1955.95,1679.7,1924.3,1642.15,1870.95,1587.45,1692.4,1817.825,1783.225,1729.2
1998,162.65,119.2,178.95,141.8,215.85,167.2,178.95,141.8,140.925,160.375,191.525,160.375,1100.975,1430.5,1179.525,1508.15,1156.925,1488.65,1106.825,1439.4,1265.7375,1343.8375,1322.7875,1273.1125
1999,82.1,77,130.7,95.8,148.7,114.4,130.7,95.3,79.55,113.25,131.55,113,1431.1,1308.5,1507.95,1385.4,1448.4,1330.75,1436.95,1317.1,1369.8,1446.675,1389.575,1377.025
2000,82.1,86.2,82.1,88,82.1,86.2,82.1,86.2,84.15,85.05,84.15,84.15,1650.15,1492.75,1779.25,1619.95,1728.6,1570.2,1678.5,1518.85,1571.45,1699.6,1649.4,1598.675
2001,16.8,18.3,26.2,24.7,26.2,24.7,26.2,24.7,17.55,25.45,25.45,25.45,1679.125,1531.05,1798.075,1630.95,1784.575,1620.45,1727.575,1571,1605.0875,1714.5125,1702.5125,1649.2875
2002,41.16,39.5,41.16,39.5,65.56,66.1,41.16,39.5,40.33,40.33,65.83,40.33,1593.15,1458.3,1742.025,1588.45,1650.35,1504.15,1634.5,1489.05,1525.725,1665.2375,1577.25,1561.775
2003,230.4,164.5,231.2,167.3,248.3,177.4,231.2,167.3,197.45,199.25,212.85,199.25,1591.925,1498.8,1738.8,1646,1668.625,1572.95,1639.125,1543.2,1545.3625,1692.4,1620.7875,1591.1625
2004,20.5,11.2,43.4666666666666,30,42.6666666666666,26.4,42.6666666666666,26.4,15.85,36.7333333333333,34.5333333333333,34.5333333333333,1688.6625,1596.05,1792.4875,1707.3,1790.9375,1705,1716.1875,1628.3,1642.35625,1749.89375,1747.96875,1672.24375
2005,178.98,123.2,216.08,147.3,320.58,183.2,216.08,147.3,151.09,181.69,251.89,181.69,1545.875,1408.7,1630.375,1494.25,1582.725,1451.55,1561.725,1425.65,1477.2875,1562.3125,1517.1375,1493.6875
2006,168.2,179,282.3,246.7,327.7,276.9,282.3,246.7,173.6,264.5,302.3,264.5,1652.11666666667,1535.3,1745.66666666667,1630,1664.21666666667,1555.75,1657.06666666667,1544.1,1593.70833333333,1687.83333333333,1609.98333333333,1600.58333333333
2007,44.2,41.7,61.2,51.9,52.8,50.6,52.8,50.6,42.95,56.55,51.7,51.7,1714.675,1546.275,1801.875,1635.625,1800.025,1624.175,1741.625,1571.975,1630.475,1718.75,1712.1,1656.8
2008,10.2,6.8,10.2,12.6,10.2,12.6,10.2,12.6,8.5,11.4,11.4,11.4,1701.75,1556.9,1773.12,1628.2,1741.45,1591.9,1711.75,1565.2,1629.325,1700.66,1666.675,1638.475
2009,80.2,66.6,80.2,66.6,96.9,70.6,80.2,66.6,73.4,73.4,83.75,73.4,1465.045,1497.8,1510.945,1649.4,1545.845,1573.9,1510.945,1541.65,1481.4225,1580.1725,1559.8725,1526.2975
2010,198.6,127.6,221,136.1,221,136.1,221,136.1,163.1,178.55,178.55,178.55,1419.4,1281.825,1511.4,1376.575,1487.1,1350.925,1434.9,1302.025,1350.6125,1443.9875,1419.0125,1368.4625
2011,155.203333333333,141.478333333333,203.403333333333,171.478333333333,396.136666666667,312.241666666667,203.403333333333,171.478333333333,148.340833333333,187.440833333333,354.189166666667,187.440833333333,1463,1315.65,1593.05,1440.9,1491.4,1349.6,1488.3,1340.95,1389.325,1516.975,1420.5,1414.625
2012,94.4804761904762,64.1,186.623333333333,134.3,232.518333333333,191.8,186.623333333333,134.3,79.2902380952381,160.461666666667,212.159166666667,160.461666666667,1597.25,1452.35,1682.75,1528.4,1622.7,1482.4,1610.25,1468.2,1524.8,1605.575,1552.55,1539.225
2013,50,56.2,69.3,82.9,59.1,75.1,59.1,65.9,53.1,76.1,67.1,62.5,1794.1,1616.55,1905.45,1733.45,1855.4,1682.85,1823.25,1654.05,1705.325,1819.45,1769.125,1738.65
2014,35,74.5,103.3,129.4,99.2,126.4,99.2,126.4,54.75,116.35,112.8,112.8,1809.625,1633.8,1925.075,1748.125,1883.075,1705.9,1829.925,1658.2,1721.7125,1836.6,1794.4875,1744.0625
2015,40,59.3,46.4,63.9,47.6,61.1,40,59.3,49.65,55.15,54.35,49.65,1793.1,1545.8,1951.2,1692.7,1913.75,1651.6,1855.65,1599.1,1669.45,1821.95,1782.675,1727.375
2016,46.2,33.1,46.2,33.1,81.5,50.1,46.2,33.1,39.65,39.65,65.8,39.65,1743.15,1467.65,1867.5,1576.95,1815.05,1529.75,1773.65,1492.25,1605.4,1722.225,1672.4,1632.95
2017,46.5,113.1,50.9,118.2,107,202.1,50.9,118.2,79.8,84.55,154.55,84.55,1894.1,1617,1996.25,1717.6,1971.5,1693.95,1927.95,1652.25,1755.55,1856.925,1832.725,1790.1
2018,75.4,76.5,75.4,85.4,185.6,137.3,75.4,85.4,75.95,80.4,161.45,80.4,1743.55,1372.6,1878.5,1480,1800.5,1428.25,1793.55,1414.6,1558.075,1679.25,1614.375,1604.075
