"Vintage","st_hosp_prcp","st_apuc_prcp","st_helena_prcp","prcp_avg","st_hosp_gdd","st_apuc_gdd","st_helena_gdd","gdd_avg","Location","Variety","R1_WS","R2_WE","Notes"
1991,3121.8,5674.4,3240.7,4012.3,1386.5,1372.125,1641.6,1466.74166666667,"Napa","Cabernet",91,NA,NA
1992,5347.9,10729.8,5269.2,7115.63333333333,1664.4,1628.4,1535.775,1609.525,"Napa","Cabernet",93,NA,NA
1993,13397.8,22411.2,16859.3,17556.1,1590.65,1416.9,1809.735,1605.76166666667,"Napa","Cabernet",88,NA,NA
1994,11285.6,12564.6,14582,12810.7333333333,1516.7,1458.55,1723.025,1566.09166666667,"Napa","Cabernet",97,NA,NA
1995,18490.3,26476.7,18542.4,21169.8,1581.45,1384.6,1747.3,1571.11666666667,"Napa","Cabernet",97,NA,NA
1996,30253.2,35817.4,27432.4,31167.6666666667,1581.55,1672.95,1912.325,1722.275,"Napa","Cabernet",96,NA,NA
1997,6606.9,8327.1,5672.4,6868.8,1740.5,1615,2016.175,1790.55833333333,"Napa","Cabernet",99,NA,NA
1998,17504.7,39403.4,16803.8,24570.6333333333,1544.2,1413.5,1220.375,1392.69166666667,"Napa","Cabernet",84,NA,NA
1999,13363,14797.1,14031.8,14063.9666666667,1466.05,1402.5,1590.8,1486.45,"Napa","Cabernet",97,NA,NA
2000,13208.9,19489.7,12620.1,15106.2333333333,1669.95,1554.75,1818.9,1681.2,"Napa","Cabernet",85,NA,NA
2001,2722.2,8904.4,2895.9,4840.83333333333,1658.4,1649.15,1819.85,1709.13333333333,"Napa","Cabernet",93,NA,NA
2002,5514.6,6597.7,5078.9,5730.4,1617.55,1528.35,1753.085,1632.995,"Napa","Cabernet",93,NA,NA
2003,24540.2,30770.8,37117.4,30809.4666666667,1662.65,1550.975,1758.5,1657.375,"Napa","Cabernet",85,NA,NA
2004,1808.8,552,3014.1,1791.63333333333,1741.1,1433.75,1858,1677.61666666667,"Napa","Cabernet",95,NA,NA
2005,18183.5,32716.9,25050.7,25317.0333333333,1545,1474.3,1679.125,1566.14166666667,"Napa","Cabernet",92,NA,NA
2006,29706.9,28348.8,28873.3,28976.3333333333,1679.3,1309.3,1809.71,1599.43666666667,"Napa","Cabernet",95,NA,NA
2007,6761.5,10104.4,7019.3,7961.73333333333,1671.375,1529.05,1834.475,1678.3,"Napa","Cabernet",97,NA,NA
2008,1032.8,1823.4,1443.8,1433.33333333333,1697.4,1647.5,1845.26,1730.05333333333,"Napa","Cabernet",96,NA,NA
2009,10104.5,15997.8,9948,12016.7666666667,1683.55,1499.25,1469.575,1550.79166666667,"Napa","Cabernet",96,NA,NA
2010,20829.1,32833.1,31905.9,28522.7,1453.625,1247.25,1594.75,1431.875,"Napa","Cabernet",96,NA,NA
2011,16225.5,20987.7,16108.7,17773.9666666667,1501.7,1297.5,1650.5,1483.23333333333,"Napa","Cabernet",86,NA,NA
2012,10815.1,13865.3,14985.1,13221.8333333333,1578.9,1472.5,1749.5,1600.3,"Napa","Cabernet",96,NA,NA
2013,8525,8629.3,6994.9,8049.73333333333,1759.25,1527.45,1940.5,1742.4,"Napa","Cabernet",97,NA,NA
2014,12664.9,9300.7,6220.7,9395.43333333333,1785.375,1604.8,1970.275,1786.81666666667,"Napa","Cabernet",95,NA,NA
2015,9572.8,7423,6931.8,7975.86666666667,1714,1566.75,1969.4,1750.05,"Napa","Cabernet",94,NA,NA
2016,5264.8,8143.6,7406.2,6938.2,1634.85,1575.25,1927.55,1712.55,"Napa","Cabernet",98,NA,NA
2017,17528.7,20272,7768.3,15189.6666666667,1747.1,1680.7,2044,1823.93333333333,"Napa","Cabernet",90.5,NA,"WS_Napa, 89-92 (value is mean)"
1996,30253.2,35817.4,27432.4,31167.6666666667,1581.55,1672.95,1912.325,1722.275,"Napa","Chardonnay",95,NA,NA
1997,6606.9,8327.1,5672.4,6868.8,1740.5,1615,2016.175,1790.55833333333,"Napa","Chardonnay",96,NA,NA
1998,17504.7,39403.4,16803.8,24570.6333333333,1544.2,1413.5,1220.375,1392.69166666667,"Napa","Chardonnay",84,NA,NA
1999,13363,14797.1,14031.8,14063.9666666667,1466.05,1402.5,1590.8,1486.45,"Napa","Chardonnay",87,NA,NA
2000,13208.9,19489.7,12620.1,15106.2333333333,1669.95,1554.75,1818.9,1681.2,"Napa","Chardonnay",87,NA,NA
2001,2722.2,8904.4,2895.9,4840.83333333333,1658.4,1649.15,1819.85,1709.13333333333,"Napa","Chardonnay",87,NA,NA
2002,5514.6,6597.7,5078.9,5730.4,1617.55,1528.35,1753.085,1632.995,"Napa","Chardonnay",94,NA,NA
2003,24540.2,30770.8,37117.4,30809.4666666667,1662.65,1550.975,1758.5,1657.375,"Napa","Chardonnay",89,NA,NA
2004,1808.8,552,3014.1,1791.63333333333,1741.1,1433.75,1858,1677.61666666667,"Napa","Chardonnay",92,NA,NA
2005,18183.5,32716.9,25050.7,25317.0333333333,1545,1474.3,1679.125,1566.14166666667,"Napa","Chardonnay",89,NA,NA
2006,29706.9,28348.8,28873.3,28976.3333333333,1679.3,1309.3,1809.71,1599.43666666667,"Napa","Chardonnay",88,NA,NA
2007,6761.5,10104.4,7019.3,7961.73333333333,1671.375,1529.05,1834.475,1678.3,"Napa","Chardonnay",95,NA,NA
2008,1032.8,1823.4,1443.8,1433.33333333333,1697.4,1647.5,1845.26,1730.05333333333,"Napa","Chardonnay",92,NA,NA
2009,10104.5,15997.8,9948,12016.7666666667,1683.55,1499.25,1469.575,1550.79166666667,"Napa","Chardonnay",94,NA,NA
2010,20829.1,32833.1,31905.9,28522.7,1453.625,1247.25,1594.75,1431.875,"Napa","Chardonnay",92,NA,NA
2011,16225.5,20987.7,16108.7,17773.9666666667,1501.7,1297.5,1650.5,1483.23333333333,"Napa","Chardonnay",89,NA,NA
2012,10815.1,13865.3,14985.1,13221.8333333333,1578.9,1472.5,1749.5,1600.3,"Napa","Chardonnay",94,NA,NA
2013,8525,8629.3,6994.9,8049.73333333333,1759.25,1527.45,1940.5,1742.4,"Napa","Chardonnay",93,NA,NA
2014,12664.9,9300.7,6220.7,9395.43333333333,1785.375,1604.8,1970.275,1786.81666666667,"Napa","Chardonnay",92,NA,NA
2015,9572.8,7423,6931.8,7975.86666666667,1714,1566.75,1969.4,1750.05,"Napa","Chardonnay",89,NA,NA
2016,5264.8,8143.6,7406.2,6938.2,1634.85,1575.25,1927.55,1712.55,"Napa","Chardonnay",89,NA,NA
2017,17528.7,20272,7768.3,15189.6666666667,1747.1,1680.7,2044,1823.93333333333,"Napa","Chardonnay",90,NA,NA
2018,12515.5,16079,12990.9,13861.8,1492.7,1470.1,1900.75,1621.18333333333,"Napa","Chardonnay",90,NA,NA
1996,30253.2,35817.4,27432.4,31167.6666666667,1581.55,1672.95,1912.325,1722.275,"Napa","Merlot",88,NA,NA
1997,6606.9,8327.1,5672.4,6868.8,1740.5,1615,2016.175,1790.55833333333,"Napa","Merlot",86,NA,NA
1998,17504.7,39403.4,16803.8,24570.6333333333,1544.2,1413.5,1220.375,1392.69166666667,"Napa","Merlot",82,NA,NA
1999,13363,14797.1,14031.8,14063.9666666667,1466.05,1402.5,1590.8,1486.45,"Napa","Merlot",87,NA,NA
2000,13208.9,19489.7,12620.1,15106.2333333333,1669.95,1554.75,1818.9,1681.2,"Napa","Merlot",83,NA,NA
2001,2722.2,8904.4,2895.9,4840.83333333333,1658.4,1649.15,1819.85,1709.13333333333,"Napa","Merlot",87,NA,NA
2002,5514.6,6597.7,5078.9,5730.4,1617.55,1528.35,1753.085,1632.995,"Napa","Merlot",89,NA,NA
2003,24540.2,30770.8,37117.4,30809.4666666667,1662.65,1550.975,1758.5,1657.375,"Napa","Merlot",85,NA,NA
2004,1808.8,552,3014.1,1791.63333333333,1741.1,1433.75,1858,1677.61666666667,"Napa","Merlot",87,NA,NA
2005,18183.5,32716.9,25050.7,25317.0333333333,1545,1474.3,1679.125,1566.14166666667,"Napa","Merlot",89,NA,NA
2006,29706.9,28348.8,28873.3,28976.3333333333,1679.3,1309.3,1809.71,1599.43666666667,"Napa","Merlot",92,NA,NA
2007,6761.5,10104.4,7019.3,7961.73333333333,1671.375,1529.05,1834.475,1678.3,"Napa","Merlot",89,NA,NA
2008,1032.8,1823.4,1443.8,1433.33333333333,1697.4,1647.5,1845.26,1730.05333333333,"Napa","Merlot",89,NA,NA
2009,10104.5,15997.8,9948,12016.7666666667,1683.55,1499.25,1469.575,1550.79166666667,"Napa","Merlot",94,NA,NA
2010,20829.1,32833.1,31905.9,28522.7,1453.625,1247.25,1594.75,1431.875,"Napa","Merlot",87,NA,NA
2011,16225.5,20987.7,16108.7,17773.9666666667,1501.7,1297.5,1650.5,1483.23333333333,"Napa","Merlot",87,NA,NA
2012,10815.1,13865.3,14985.1,13221.8333333333,1578.9,1472.5,1749.5,1600.3,"Napa","Merlot",91,NA,NA
2013,8525,8629.3,6994.9,8049.73333333333,1759.25,1527.45,1940.5,1742.4,"Napa","Merlot",90,NA,NA
2014,12664.9,9300.7,6220.7,9395.43333333333,1785.375,1604.8,1970.275,1786.81666666667,"Napa","Merlot",92,NA,NA
2015,9572.8,7423,6931.8,7975.86666666667,1714,1566.75,1969.4,1750.05,"Napa","Merlot",91,NA,NA
2016,5264.8,8143.6,7406.2,6938.2,1634.85,1575.25,1927.55,1712.55,"Napa","Merlot",94,NA,NA
2000,13208.9,19489.7,12620.1,15106.2333333333,1669.95,1554.75,1818.9,1681.2,"Napa","Rhone",93,NA,NA
2001,2722.2,8904.4,2895.9,4840.83333333333,1658.4,1649.15,1819.85,1709.13333333333,"Napa","Rhone",97,NA,NA
2002,5514.6,6597.7,5078.9,5730.4,1617.55,1528.35,1753.085,1632.995,"Napa","Rhone",96,NA,NA
2003,24540.2,30770.8,37117.4,30809.4666666667,1662.65,1550.975,1758.5,1657.375,"Napa","Rhone",90,NA,NA
2004,1808.8,552,3014.1,1791.63333333333,1741.1,1433.75,1858,1677.61666666667,"Napa","Rhone",97,NA,NA
2005,18183.5,32716.9,25050.7,25317.0333333333,1545,1474.3,1679.125,1566.14166666667,"Napa","Rhone",92,NA,NA
2006,29706.9,28348.8,28873.3,28976.3333333333,1679.3,1309.3,1809.71,1599.43666666667,"Napa","Rhone",93,NA,NA
2007,6761.5,10104.4,7019.3,7961.73333333333,1671.375,1529.05,1834.475,1678.3,"Napa","Rhone",95,NA,NA
2008,1032.8,1823.4,1443.8,1433.33333333333,1697.4,1647.5,1845.26,1730.05333333333,"Napa","Rhone",91,NA,NA
2009,10104.5,15997.8,9948,12016.7666666667,1683.55,1499.25,1469.575,1550.79166666667,"Napa","Rhone",92,NA,NA
2010,20829.1,32833.1,31905.9,28522.7,1453.625,1247.25,1594.75,1431.875,"Napa","Rhone",93,NA,NA
2011,16225.5,20987.7,16108.7,17773.9666666667,1501.7,1297.5,1650.5,1483.23333333333,"Napa","Rhone",87,NA,NA
2012,10815.1,13865.3,14985.1,13221.8333333333,1578.9,1472.5,1749.5,1600.3,"Napa","Rhone",93,NA,NA
2013,8525,8629.3,6994.9,8049.73333333333,1759.25,1527.45,1940.5,1742.4,"Napa","Rhone",94,NA,NA
2014,12664.9,9300.7,6220.7,9395.43333333333,1785.375,1604.8,1970.275,1786.81666666667,"Napa","Rhone",93,NA,NA
2015,9572.8,7423,6931.8,7975.86666666667,1714,1566.75,1969.4,1750.05,"Napa","Rhone",94,NA,NA
2016,5264.8,8143.6,7406.2,6938.2,1634.85,1575.25,1927.55,1712.55,"Napa","Rhone",94,NA,NA
2017,17528.7,20272,7768.3,15189.6666666667,1747.1,1680.7,2044,1823.93333333333,"Napa","Rhone",89.5,NA,"WS_Napa, 88-91 (value is mean), WE_Sonoma, 88-91 (value is mean)"
1995,18490.3,26476.7,18542.4,21169.8,1581.45,1384.6,1747.3,1571.11666666667,"Napa","Zinfandel",NA,90,NA
1996,30253.2,35817.4,27432.4,31167.6666666667,1581.55,1672.95,1912.325,1722.275,"Napa","Zinfandel",NA,88,NA
1997,6606.9,8327.1,5672.4,6868.8,1740.5,1615,2016.175,1790.55833333333,"Napa","Zinfandel",NA,89,NA
1998,17504.7,39403.4,16803.8,24570.6333333333,1544.2,1413.5,1220.375,1392.69166666667,"Napa","Zinfandel",NA,85,NA
1999,13363,14797.1,14031.8,14063.9666666667,1466.05,1402.5,1590.8,1486.45,"Napa","Zinfandel",NA,90,NA
2000,13208.9,19489.7,12620.1,15106.2333333333,1669.95,1554.75,1818.9,1681.2,"Napa","Zinfandel",NA,85,NA
2001,2722.2,8904.4,2895.9,4840.83333333333,1658.4,1649.15,1819.85,1709.13333333333,"Napa","Zinfandel",NA,91,NA
2002,5514.6,6597.7,5078.9,5730.4,1617.55,1528.35,1753.085,1632.995,"Napa","Zinfandel",NA,86,NA
2003,24540.2,30770.8,37117.4,30809.4666666667,1662.65,1550.975,1758.5,1657.375,"Napa","Zinfandel",NA,88,NA
2004,1808.8,552,3014.1,1791.63333333333,1741.1,1433.75,1858,1677.61666666667,"Napa","Zinfandel",85,NA,NA
2004,1808.8,552,3014.1,1791.63333333333,1741.1,1433.75,1858,1677.61666666667,"Napa","Zinfandel",NA,90,NA
2005,18183.5,32716.9,25050.7,25317.0333333333,1545,1474.3,1679.125,1566.14166666667,"Napa","Zinfandel",NA,87,NA
2005,18183.5,32716.9,25050.7,25317.0333333333,1545,1474.3,1679.125,1566.14166666667,"Napa","Zinfandel",91,NA,NA
2006,29706.9,28348.8,28873.3,28976.3333333333,1679.3,1309.3,1809.71,1599.43666666667,"Napa","Zinfandel",90,NA,NA
2006,29706.9,28348.8,28873.3,28976.3333333333,1679.3,1309.3,1809.71,1599.43666666667,"Napa","Zinfandel",NA,87,NA
2007,6761.5,10104.4,7019.3,7961.73333333333,1671.375,1529.05,1834.475,1678.3,"Napa","Zinfandel",92,NA,NA
2007,6761.5,10104.4,7019.3,7961.73333333333,1671.375,1529.05,1834.475,1678.3,"Napa","Zinfandel",NA,94,NA
2008,1032.8,1823.4,1443.8,1433.33333333333,1697.4,1647.5,1845.26,1730.05333333333,"Napa","Zinfandel",94,NA,NA
2008,1032.8,1823.4,1443.8,1433.33333333333,1697.4,1647.5,1845.26,1730.05333333333,"Napa","Zinfandel",NA,89,NA
2009,10104.5,15997.8,9948,12016.7666666667,1683.55,1499.25,1469.575,1550.79166666667,"Napa","Zinfandel",NA,89,NA
2009,10104.5,15997.8,9948,12016.7666666667,1683.55,1499.25,1469.575,1550.79166666667,"Napa","Zinfandel",92,NA,NA
2010,20829.1,32833.1,31905.9,28522.7,1453.625,1247.25,1594.75,1431.875,"Napa","Zinfandel",NA,89,NA
2010,20829.1,32833.1,31905.9,28522.7,1453.625,1247.25,1594.75,1431.875,"Napa","Zinfandel",88,NA,NA
2011,16225.5,20987.7,16108.7,17773.9666666667,1501.7,1297.5,1650.5,1483.23333333333,"Napa","Zinfandel",NA,89,NA
2011,16225.5,20987.7,16108.7,17773.9666666667,1501.7,1297.5,1650.5,1483.23333333333,"Napa","Zinfandel",89,NA,NA
2012,10815.1,13865.3,14985.1,13221.8333333333,1578.9,1472.5,1749.5,1600.3,"Napa","Zinfandel",89,NA,NA
2012,10815.1,13865.3,14985.1,13221.8333333333,1578.9,1472.5,1749.5,1600.3,"Napa","Zinfandel",NA,92,NA
2013,8525,8629.3,6994.9,8049.73333333333,1759.25,1527.45,1940.5,1742.4,"Napa","Zinfandel",NA,93,NA
2013,8525,8629.3,6994.9,8049.73333333333,1759.25,1527.45,1940.5,1742.4,"Napa","Zinfandel",91,NA,NA
2014,12664.9,9300.7,6220.7,9395.43333333333,1785.375,1604.8,1970.275,1786.81666666667,"Napa","Zinfandel",NA,93,NA
2014,12664.9,9300.7,6220.7,9395.43333333333,1785.375,1604.8,1970.275,1786.81666666667,"Napa","Zinfandel",93,NA,NA
2015,9572.8,7423,6931.8,7975.86666666667,1714,1566.75,1969.4,1750.05,"Napa","Zinfandel",NA,93,NA
2015,9572.8,7423,6931.8,7975.86666666667,1714,1566.75,1969.4,1750.05,"Napa","Zinfandel",92,NA,NA
2016,5264.8,8143.6,7406.2,6938.2,1634.85,1575.25,1927.55,1712.55,"Napa","Zinfandel",92,NA,NA
2016,5264.8,8143.6,7406.2,6938.2,1634.85,1575.25,1927.55,1712.55,"Napa","Zinfandel",NA,93,NA
2017,17528.7,20272,7768.3,15189.6666666667,1747.1,1680.7,2044,1823.93333333333,"Napa","Zinfandel",90,NA,NA
2017,17528.7,20272,7768.3,15189.6666666667,1747.1,1680.7,2044,1823.93333333333,"Napa","Zinfandel",NA,89,NA
2018,12515.5,16079,12990.9,13861.8,1492.7,1470.1,1900.75,1621.18333333333,"Napa","Zinfandel",NA,90,NA
2018,12515.5,16079,12990.9,13861.8,1492.7,1470.1,1900.75,1621.18333333333,"Napa","Zinfandel",90.5,NA,"WS_Napa, 89-92 (value is mean)"
